未知,2025-05-22 15:09:35,江西,<p>我念什么不重要，你能听懂就行。</p>,0
男,2025-05-22 11:59:38,广东,<p>读书是让你明理启智的，认字是让你更好地与他人、与古人沟通的，不是让你来装逼的。</p>,0
未知,2025-05-22 11:22:40,辽宁,<p>你没看过有个女家长质问教育局的视频吧，好多字改成字的本音了，失去了原来的韵味</p>,0
未知,2025-05-22 09:48:39,广东,<p>触龙说赵太后，你知道怎么读吗？</p>,0
女,2025-05-22 00:10:09,山东,啊？难道我读的是假书？这个词我一直读说shuì服啊[思考],0
未知,2025-05-21 10:48:32,陕西,<p>幼儿园一年、小学六年、中学六年、大学四年、研究生两年、工作十五年，我都40了，就别让我改读音了。文盲就文盲吧。</p><p>说（shuì）服</p>,0
女,2025-05-19 23:11:00,河南,<p>触龙说（shuo）赵太后？那他胆子还怪大嘞。</p>,0
未知,2025-05-19 17:32:17,北京,<p>个人认为，口语可以包容误读，但书面必须严格，真理不应该服从错误多数</p>,0
未知,2025-05-14 15:37:45,江苏,<p>文字是为大部分人服务的交流工具。不是小部分人显示阶级的锦绣官袍</p>,0
男,2025-05-09 12:09:00,浙江,<p>教育部里面各种牛鬼蛇神的，以为小学教材里面改了、官网上发了通告，全民都会知道，也没给个两者并存过渡期（30年+），就当你们普通老百姓都拿教材啊、通告啊日日学、月月学的[发呆]</p>,0
未知,2025-05-08 14:50:04,广东,<p>世上本没有路，走的人多了便成了路。</p>,0
女,2025-05-05 12:02:20,山西,为了文盲迁就了多少啊[打招呼],0
未知,2025-05-04 18:51:22,安徽,我上初中时说（shui）服改为shuo服的，以前确凿（zuo）也是后来改为确凿zao的,0
未知,2025-05-03 15:04:20,湖北,<p>而现实就是太迁就他们了，我发现一个字的读音用的人多就读什么，已经不考虑从古至今的读法了</p>,0
女,2025-05-03 09:31:57,广东,<p>“我去说服（睡服）他”。。多妙啊</p>,0
女,2025-05-03 07:33:04,天津,公说公有理婆说婆有理的，纠结这个干什么,0
女,2025-05-02 11:09:58,北京,<p>教育事业变为教育产业</p>,0
女,2025-05-01 21:23:22,天津,你还真得让 教材都改了 [惊喜] 一骑红尘 鬓毛衰 还有好多读音都改了 荨麻疹[惊喜],0
男,2025-05-01 21:01:35,山东,这是时代造成的，我学的也是shui服，不知道从什么时候开始就变成shuo服了，就像“谁”有的读shui，也有的读shei，都对，只是那个时代就那么定的，再说一点，汉语拼音的o，到底读个啥？其实这也正是做学问的态度，怀疑的精神，与时俱进的精神，多了解几种学说，有什么坏处么？,0
女,2025-05-01 10:00:17,河北,现在就连一些文言文中的通假字都是不念他通的字了，我们背了那么多年的课文算什么，到头来还要迁就他们[流泪][流泪][流泪]那些嚷嚷着我们是学傻了的做题家的。你们的学历真的有吗？哈哈哈哈,0
女,2025-05-01 12:04:55,浙江,我一直学的是shui服，后面改了不能说我们读shui服的错了,0
男,2025-05-31 16:50:58,河南,<p>因为你学的时候就学错了，这个词打民国开始就一直读shuo服</p>,0
未知,2025-04-30 19:28:06,上海,<p>从日常交流来说，不管读哪个，大部分人都听的懂；如果你听不懂，那只能说你是文盲。</p><p>比如南方很多地方（没有贬低的意思），老师教的N和L 、F和H是混淆的，但他们说出来，很多也能听得懂，你非要纠正他们，这就过于迂腐了。<br>但如果说对错，那就只有一个，这叫规则。难道为了像某些人的观点，读音是为了交流，那干脆N和L 、F和H都一样算了，交流嘛[发呆]</p>,0
男,2025-04-30 12:46:50,贵州,<p>我就想问一句。仓颉造字的时候仓颉是文盲还是高学历？</p>,0
未知,2025-04-30 12:35:04,福建,<p>虽然我一直都知道正确读音，但是和身边人交流的时候还是读shuo服，不然显得我装逼</p>,0
未知,2025-04-24 11:09:31,北京,<p>读书是为了追求更高的精神境界，消除自身的偏见，但我见你反而越走越窄，心中偏见更甚</p>,0
女,2025-04-23 10:12:11,四川,<p>我记得当初是，一骑（ji）红尘妃子笑，现在变成qi了。</p><p></p>,0
男,2025-04-23 11:55:43,河南,哎，小学课本里很多通假字都不通了。你不迁就没用。,0
男,2025-04-23 04:23:57,新加坡,冒顿单于这四个字又怎么解释,0
未知,2025-04-22 16:47:03,浙江,<p>文字只是工具</p>,0
未知,2025-04-22 16:51:01,广东,也可能是睡fu?[思考][思考],0
男,2025-04-22 18:18:18,广东,"<p>是不是被睡客污染了 ,容易有歧义[大哭]</p>",0
未知,2025-04-22 12:08:26,北京,<p>关键是文盲还死倔，坚信自己没错~</p>,0
男,2025-04-22 12:01:31,上海,说服角色,0
男,2025-04-22 15:33:32,山东,<p>触龙说赵太后？</p>,0
未知,2025-04-22 08:39:26,广东,<p>那个驴得水。。。就是“睡”服，为了好玩，我也老说shui服</p>,0
男,2025-04-21 18:14:38,河南,<p>高中毕业学历也不高啊</p><p></p>,0
男,2025-04-22 11:56:49,北京,<p>因为很多年前，官方教材上就念的是shuì服。你选择shuo服？那你就选错了，扣分！</p>,0
女,2025-05-05 12:39:53,广东,从1949年前的词典到现在，“说服”的音，标注的都是shuō  fú，读书建议到正规学校读哦。,0
男,2025-04-21 15:25:42,江苏,<p>有没有可能是当年那一批学习不好的，考上师范的学渣，现在混进教育局了</p>,0
未知,2025-04-22 06:13:33,广西,<p>得了吧，只要一个字念得人够多字典都会改，何况教材？如果你读了十二年书就以为自己掌握了绝对的标准，那你要被现实狠狠打脸的。</p>,0
未知,2025-04-21 13:05:10,辽宁,<p>你读了20年的书，对于“陈胜王”在行文中省略一个字，里面的王由一个名词词性变更为“称王”这个动词词性是怎么看的</p><p>对于民国词典斜的（xia、xie）两个音与新字典（xie）单个音同时标注旧读（xia）又怎么看</p>,0
男,2025-04-21 16:47:39,浙江,<p>以后就是触龙shuo赵太后了</p>,0
男,2025-04-22 08:02:32,广西,自从高考之后，我又知道了许多多音字以后。唉呀，我爱咋读咋续。,0
男,2025-04-21 09:49:19,广东,<p>我记得“疫情”潮汕话听到最多的是“亿情”，虽然刺耳，但懒得去纠正，有必要吗？！</p>,0
未知,2025-04-21 11:12:59,上海,<p>可这俩是完全的同音词</p>,0
男,2025-04-21 15:10:02,浙江,语言这东西不是一成不变的，是会随历史发展变化的,0
女,2025-04-20 23:00:18,江苏,凭什么改，因为以前读书的人都死了吗，啊？改了有通知我们吗？这么随心所欲，在这件事上，我是守旧派。想改就改，看来出了坏人。,0
男,2025-04-20 14:24:04,山东,天皇老子来了，临沂人喝的早餐也是糁（sa）,0
女,2025-04-21 02:09:24,吉林,有时候我感觉这两个读音意义不同,0
女,2025-04-20 21:49:46,重庆,说服 大家同用的很好 ，本来语言就是这样形成的,0
未知,2025-04-21 05:55:24,内蒙古,至今记得高中课文-《触龙说赵太后》,0
未知,2025-04-20 22:12:38,广东,小时候这种问题都不好意思发帖 只会乱逛半小时百度[捂脸],0
未知,2025-04-20 15:54:47,湖南,可是你坚持的很多“正确标准”，也是迁就“文盲”的产物,0
未知,2025-04-20 15:19:39,福建,<p>突然发现shui这个音，和闽南语的说是一样的</p>,0
未知,2025-04-19 23:35:33,浙江,一模一样，网上写成一摸一样；民族写成名族[大哭],0
未知,2025-04-20 08:16:34,安徽,咦？今天居然在b站看见孔乙己了。,0
未知,2025-04-20 11:14:28,广西,可以理解语言文字本来就是一直在发展的，但也不能这么一刀切吧，你把它变成多音字都可以接受，直接把以前一直学的那个剔除掉换成另一个才是真的傲慢[吃瓜],0
男,2025-04-19 23:21:23,四川,<p>精辟</p>,0
未知,2025-04-20 01:51:18,浙江,各用各的，听得懂不就好了。吃太饱了在乎这个干嘛？还能吵起来也是无敌了。论中国人吃太饱了会干什么:为一个字的正确读法撕逼,0
未知,2025-04-19 14:49:03,河南,<p>就是没事找事</p>,0
女,2025-04-20 07:25:48,江西,"这个是360百科老了吗<a href=""https://pic4.zhimg.com/v2-3bf523b0a9105b2c528676f4b2fb534b_qhd.jpeg"" class=""comment_img"" data-width=""1080"" data-height=""2400"">查看图片</a>",0
